start_time,end_time,duration,head movement,facial expression,intensity
0,8,8,none,neutral,0
8,20,12,nod,smile,3
20,24,4,none,surprise,4
24,50,26,nod,smile,3
50,54,4,none,browraise,2
54,67,13,nod,smile,2
67,74,7,nod,browraise,3
74,85,11,nod,smile,3
85,87,2,nod,browraise,3
87,133,46,nod,thoughtful,2
133,190,57,nod,smile,4
190,202,12,nod,thoughtful,2
202,220,18,nod,frown,2
220,230,10,none,browraise,3
230,248,18,nod,thoughtful,2
248,260,12,none,thoughtful,3
260,278,18,nod,smile,2
278,293,15,none,thoughtful,3
293,328,35,sway,thoughtful,2
328,339,11,nod,frown,4
339,343,4,none,neutral,0
