start_time,end_time,duration,head movement,facial expression,intensity
0,6,6,none,smile,3
6,13,7,none,frown,3
13,17,4,none,big smile,3
17,36,19,sway,neutral,2
36,40,4,none,surprise,3
40,54,14,sway,"smile, frown",2
54,59,5,shake,big smile,3
59,72,13,nod,smile,3
72,78,6,none,oh face,3
78,98,20,nod,smile,3
98,112,14,shake,neutral,3
112,116,4,none,oh face,3
116,128,12,shake,big smile,3
128,141,13,nod,frown,3
141,160,19,none,surprise,3
161,173,12,shake,smile,3
173,185,12,shake,close eyes,3
185,190,5,none,oh face,3
190,200,10,nod,neutral,3
